Text,Lebel,Month
"অসাধারণ
পেইনকিলার ও আয়না একইসাথে।",1,9
দাস বাশ তোকে জেনো কুমিল্লার খেলায় না দিখি,1,7
স্যার লিটন  বাইন**দ,1,5
ষ্যাড় লর্ড এলকেডি,1,2
পাশে থাকলে পাছায় পাবেন,1,2
কুমিল্লা যে কি পাপ করলো যে ওর মতো বালের একটা প্লেয়ার পাইছে।,1,10
"বাংলাদেশের খেলা দেখলে মনে হয়
বাংলা ছবির আনোয়ারের মতো এই বুঝি ষ্ট্রোক করবো এখানি",1,9
স্যালুট এবাদতের পুন্দের ভেতর ঢুকাই দিছে,1,9
ক্রিকেট বোর্ড ধ্বংসকারী পাপনকে বিসিবি ছাড়া করতে না পারলে বাংলাদেশ ক্রিকেট বোর্ড আর কোনো দিন মাথা উঁচু করে দাঁড়াতে পারবে না,1,9
ইবাদতকে জাদুঘরে রাখা হোক।,1,9
শেখ হাসিনা আপা পাপনকে ফোন করলে বাংলাদেশ জিততে পারতো।,1,9
"এ ভোদা অবসর নে
হংকং যেয়ে খেল, ক্যারিয়ার ভাল হবে",1,9
আউলিয়ার এবাদতে দেউলিয়ার জয়,1,9
ভালোবাসা সু..দাচ,1,9
তাদের খেলা না দেখে । হিরো আলমের গান শুনা টা অনেক ভালো,1,9
এশিয়ার অন্যতম অযোগ্য দল হিসেবে বাংলাদেশ জাতীয় ক্রিকেট দলের লজ্জাজনক শিক্ষা সফর এখানেই সমাপ্তি। ,1,9
"যেমন দারুন শুরু দিছিলো
তেমন দারুন বাঁশ টা ও দিলো।
এবাদত দি স্যালুট বস",1,9
সুদির ভাইকে নিয়ে গর্ব করছিলাম।,1,9
"বাংলাদেশের খেলা দেখা আর পর্ন দেখা একই কথা,কারণ দুইটা দেখার পর ই শপথ করি আর দেখব না",1,9
লর্ডদের সারিতে মিথুন এবং লিটন না থাকাটা দুঃখজনক,1,5
এই আনামুল হক বালডা সারাদিন পোস্ট করে আর ভিত্রে ভিত্রে সে যে কত বড় লর্ড সেও জানে না!,1,5
লাভ নাই।নেত্রীর দোয়ায় বাঘ আবার ফিরে আসবে।,1,9
ইমরুল কায়েস দলে থাকা মানে একাদশে একজন বাড়িত খেলোয়াড় উপস্থিত,1,9
টিক টিক টাইগার জিন্দাবাদ,1,9
স্যার এনামুল হক রত্নকে খাঁচায় বন্দী করে রাখা হোক,1,9
বল নষ্ট না করে আউট হওয়ার জন্য নাইম শেখের শ্রদ্ধেয় বড় ভাই বিজয়ের প্রতি শ্রদ্ধা জানাই,1,9
বন্যরা বনে সুন্দর এনামুল লর্ড এসোসিয়েশনে,1,9
"আজীবন নিষিদ্ধ করা উচিৎ টি টুয়েন্টি তে..আনামুল, শান্ত আর নাইমকে",1,9
"সোনামুল হক বিজয়,এই হইলো আরেক সুদানীর ফুয়া!",1,9
"যেই টাকা দিয়ে MB কিনে লর্ডদের খেলা দেখবেন....
ওই টাকা দিয়ে গাঞ্জা কিনে খান",1,9
"বন্যেরা বনে সুন্দর
বিজয় টিকটকে",1,9
"বন্যরা বনে সুন্দর,
বিজয় ডিপিএল এ
আর নাইম শেখ কোথাও না।",1,9
"আফগান যুদ্ধে একে একে ৪ জন শহীদ।
লর্*ড নাঈম, আনামুল, বীর সাকিব এবং আয়না মুসফিক।",1,9
আগামী ম্যাচে পাপন আর নান্নু কে দিয়ে ওপেনিং করানো হোক,1,9
নাঈম শেখের দ্রুত পতন ঠেকাতে দরকার কলিকাতা হারবাল।,1,9
আমি বিশ্বাস করি না যে আমাদের ষাড় লর্ড বিরাট ম্যাক্সওয়েল ডিভিলিয়াস বিজয় ছক্কা মারতে পারেন না,1,9
"একমাত্র শেখ পরিবারের টাইটেল থাকায়, নাইম গুরু দলে রাজ করতেছে,শ্রদ্ধা জানাই ",1,9
Dot baba naim is best,1,9
লিটনের অভাব পুষিয়ে নিতে নাইম শেখকে এশিয়া কাপ স্কোয়াডে যুক্ত করা হয়েছে। ,1,9
" ডাক বিভাগের বিশ্বস্ত কর্মী লর্*ড নাঈম
",1,9
"ডন নাঈম,পাওয়ারফুল হিটার অফ দা প্ল্যানেট। ",1,9
"এক দফা এক দাবি
লর্ড মিথুনকে দলে চাই",1,9
"লর্ড সৌম্য,জেনারেল মিথুন,ব্রিগেডিয়ার সাব্বির
খিং নাঈম,বেডরুম ক্রিকেট স্পেশালিস্ট সাইফ,বেস্ট অফ ডাক খ্যাত জয়।",1,9
বঙ্গবন্ধুর স্বপ্ন ছিল সাব্বির টি২০ বিশ্বকাপ খেলবে।,1,9
"বিশ্বের একমাত্র প্লেয়ার যার ক্রিকেট বোর্ডের সভাপতির নামের সাথে আংশিক মিল থাকাতেই অটোচয়েজ হিসেবে ৩ ফরম্যাটেই দলে সুযোগ পেয়ে যায়।
নাজমুল* হাসান পাপন
নাজমুল* হোসেন শান্ত",1,8
